all_infected,daily new cases,hospitalized,recovered,"deceased, cumul.",daily deceased,susceptible,latent,R0,Rc_t
1190.11033826004,145.762163326485,38.5836787736557,3217.06532933652,20.6016406564481,0.724034574432373,156572.000645521,341.80744322688,1.28311591518013,1.24782624782522
1231.1472735675,151.148386066488,39.6989079781355,3326.45274552111,21.3256752308805,0.745156491745227,156420.774589659,354.200032638312,1.28890302657359,1.25224353905339
1274.15683662246,156.781390258819,40.8676218187334,3439.47941623323,22.0708317226257,0.767295394374504,156263.92981624,367.169586860444,1.29463413948987,1.25655042429164
1319.22561461357,162.681214639615,42.0927955997014,3556.32455748736,22.8381271170002,0.790506328328686,156101.202480382,380.745017194726,1.30030059535124,1.26073594111978
1366.39583468601,168.811008284203,43.3774039588664,3677.1748393708,23.6286334453289,0.814844232374416,155932.365587457,394.915401527613,1.30584763730216,1.26474478994607
1415.71193759527,175.180196992932,44.7244087043286,3802.22408922209,24.4434776777033,0.840363668041601,155757.182703209,409.681773698155,1.31123094709501,1.26853191424087
1467.25528683806,181.832273406839,46.1367460724977,3931.6726497181,25.2838413457449,0.8671187731468,155575.370109171,425.081342978989,1.31645137110644,1.27209570987956
1521.0861998571,188.75247345652,47.6173352238137,4065.72709138244,26.1509601188917,0.895163497323328,155386.639342865,441.126681406069,1.32149167013869,1.27541707790336
1577.26692472489,195.949041167084,49.1690905012216,4204.6002441844,27.046123616215,0.924551743540622,155190.708086976,457.833017697803,1.32634017521349,1.27848242829556
1635.86651543348,203.435107303813,50.7949253825204,4348.51120903609,27.9706753597556,0.955337424674422,154987.289741553,475.221401187935,1.33099471226888,1.2812873485397
1696.93027002052,211.193284147192,52.4977548027723,4497.68540117157,28.9260127844301,0.987574457657612,154776.115107826,493.291334387834,1.33543467554257,1.28380988236496
1760.57938190888,219.305784654486,54.2804930608514,4652.35449948004,29.9135872420877,1.0213167012389,154556.83277843,512.110957806029,1.33970848009919,1.28609378590394
1825.73883690395,226.581998529457,56.1460230307093,4812.75572631318,30.9349039433266,1.05661474050829,154330.28192287,530.733456155164,1.3428933225288,1.28726152210069
1892.52587790831,234.209286714301,58.0968723890227,4979.12135728261,31.9915186838349,1.09351116981836,154096.113993514,549.515420855436,1.34519259089258,1.28750901136282
1960.72387198234,241.838286297007,60.135154682196,5151.66813833577,33.0850298536532,1.13204316006267,153854.32939351,568.397875392978,1.34657525810185,1.2868101448022
2030.07055123377,249.405940640362,62.2628046456197,5330.59535656464,34.2170730137159,1.17224581817172,153604.991401833,587.28073781058,1.34700709797751,1.28513673107481
2100.29573648456,256.886147804058,64.4816932195558,5516.08407329973,35.3893188318876,1.21415346343689,153348.189337603,606.066310101784,1.34647673338714,1.28248303757844
2171.1119033472,264.242445838179,66.7936620380792,5708.29619881184,36.6034722953245,1.25779993766058,153084.048951584,624.649465551036,1.34498462025932,1.2788552263783
2242.21526395479,271.438368274783,69.2005274652018,5907.37340654137,37.8612722329851,1.3032132253628,152812.732433736,642.91988800831,1.34254081419231,1.27426913180459
2313.27531338737,278.425134824588,71.703259728983,6113.43527870802,39.1644854583479,1.35037935075403,152534.449913175,660.761481484959,1.3391614247249,1.2687469022693
2383.89868121488,285.111916552034,74.2985638736864,6326.57344808179,40.5148648091019,1.39918652359432,152249.498076768,678.052773043397,1.33486742640782,1.26231612217154
2453.62944161368,291.397117843208,76.9780220400978,6546.8406190026,41.9140513326962,1.44945001308994,151958.270090091,694.665971575301,1.32968700307041,1.25501202948979
2521.98627169572,297.209872125506,79.7304949166866,6774.24421103298,43.3635013457862,1.50095268441513,151661.227258842,710.46986047554,1.32365859513068,1.24688004353562
2588.47047254157,302.486011889092,82.5438280598696,7008.7450693918,44.8644540302013,1.55346626776018,151358.894043096,725.32069650138,1.31682107987453,1.23796634970462
2652.60136917254,307.197304868019,85.4055699844252,7250.25801136109,46.4179202979615,1.60675995263544,151051.822839153,739.090893236297,1.30922637794303,1.22832938445588
