S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
142743	708	1352	905	368	393	105	47	8	31685	295	924	903	344	6	107	9993	1301	2577	95	46504	360	492
142264	740	1359	882	393	408	109	52	9	32091	298	928	889	322	7	127	12277	1336	2607	95	47717	360	474
141769	747	1437	890	376	407	117	56	7	32492	302	933	859	108	4	109	12134	1357	2673	96	49201	360	486
141281	748	1446	947	390	416	126	61	7	32870	305	936	860	355	5	125	13729	1407	2727	96	49065	360	485
140838	728	1474	960	408	404	131	60	7	33274	309	940	887	290	3	104	14134	1425	2740	96	80932	360	438
140424	685	1473	944	404	441	130	58	10	33707	312	945	874	346	4	126	14364	1426	2709	96	73616	360	410
139875	754	1516	937	394	434	132	58	11	34154	318	950	838	307	5	119	15340	1446	2779	96	48018	360	546
139374	787	1522	942	413	437	133	58	14	34577	323	953	853	276	8	136	15291	1453	2839	97	48038	360	496
138823	831	1537	963	434	471	135	67	13	34979	323	957	857	303	10	136	14904	1519	2919	97	47693	360	543
138284	853	1568	970	450	482	130	69	13	35426	328	960	876	257	4	146	13674	1516	3006	97	47855	360	533
137719	850	1645	1009	470	488	127	70	17	35840	334	964	831	278	3	125	14068	1546	3113	97	46393	360	559
137274	807	1646	1006	458	509	132	72	17	36309	337	966	861	292	9	151	11943	1556	3074	97	72831	360	441
136807	792	1622	1029	477	505	137	72	18	36761	342	971	837	333	2	150	11899	1596	3038	97	71884	360	458
136237	826	1678	1003	501	495	147	73	16	37239	347	971	810	314	6	149	11329	1618	3105	97	45225	360	565
135590	920	1736	1013	505	469	147	70	17	37740	352	974	847	349	6	151	12510	1655	3205	97	44429	360	645
134948	956	1808	1082	509	492	149	68	15	38169	357	980	822	326	7	142	14217	1730	3334	97	45360	360	634
134320	962	1847	1149	517	491	152	70	18	38663	360	984	840	370	13	168	14674	1809	3379	98	46523	360	623
133672	991	1886	1158	513	519	160	67	19	39190	371	987	855	284	6	136	15241	1795	3499	98	47368	360	642
133190	895	1867	1178	531	524	159	72	17	39732	376	992	854	381	11	169	15024	1789	3437	98	73452	360	478
132686	817	1821	1223	547	533	163	73	19	40277	378	996	836	319	10	160	15612	1811	3366	98	73828	360	499
132057	892	1837	1190	560	508	159	71	16	40856	386	1001	872	250	12	167	16325	1827	3390	98	49263	360	627
